Disease,Diet
Fungal infection,"['Antifungal Diet: Foods that help fight fungal infections such as yogurt kefir and sauerkraut.', 'Probiotics: Foods that promote a healthy balance of gut bacteria like kimchi and miso.', 'Garlic: Contains allicin which has antifungal properties.', 'Coconut oil: Contains caprylic acid which helps to fight fungal infections.', 'Turmeric: Contains curcumin which has anti-inflammatory and antifungal properties.']"
Allergy,"['Elimination Diet: Identify and remove foods that trigger allergic reactions.', 'Omega-3-rich foods: Foods like salmon and flaxseed that help reduce inflammation.', 'Vitamin C-rich foods: Citrus fruits and bell peppers that boost the immune system.', 'Quercetin-rich foods: Apples and onions that help reduce histamine levels.', 'Probiotics: Yogurt and other fermented foods that promote a healthy gut.']"
GERD,"['Low-Acid Diet: Foods that are less likely to cause acid reflux, such as bananas and melons.', 'Fiber-rich foods: Whole grains and vegetables that help digestion.', 'Ginger: Has natural anti-inflammatory properties that can help soothe the stomach.', 'Licorice: Can help soothe the lining of the esophagus.', 'Aloe vera juice: Can help reduce acid production and soothe the digestive tract.']"
Chronic cholestasis,"['Low-Fat Diet: Reduces the workload on the liver.', 'High-Fiber Diet: Includes whole grains, fruits, and vegetables to aid digestion.', 'Lean proteins: Such as chicken and fish, which are easier for the liver to process.', 'Whole grains: Brown rice, quinoa, and oats that support liver health.', 'Fresh fruits and vegetables: Provide essential vitamins and antioxidants.']"
Drug Reaction,"['Antihistamine Diet: Foods that help reduce allergic reactions, such as apples and onions.', 'Omega-3-rich foods: Help reduce inflammation, found in fish and flaxseed.', 'Vitamin C-rich foods: Boost the immune system and reduce histamine levels.', 'Quercetin-rich foods: Help reduce histamine and allergic responses.', 'Probiotics: Promote a healthy gut, which can improve immune responses.']"
Peptic ulcer disease,"['Low-Acid Diet: Foods like oats and melons that are less likely to irritate the stomach.', 'Fiber-rich foods: Promote digestive health and prevent further irritation.', 'Ginger: Has natural anti-inflammatory properties.', 'Licorice: Can help soothe the stomach lining.', 'Aloe vera juice: Helps reduce stomach acid and promote healing.']"
AIDS,"['Balanced Diet: Ensures adequate nutrition to support the immune system.', 'Protein-rich foods: Such as lean meats, eggs, and beans to maintain muscle mass.', 'Fruits and vegetables: Provide essential vitamins and antioxidants.', 'Whole grains: Offer sustained energy and fiber.', 'Healthy fats: Such as avocados and nuts to support overall health.']"
Diabetes,"['Low-Glycemic Diet: Foods that help manage blood sugar levels, like whole grains and legumes.', 'Fiber-rich foods: Promote stable blood sugar levels and digestive health.', 'Lean proteins: Chicken, fish, and plant-based proteins for muscle maintenance.', 'Healthy fats: Avocado, nuts, and seeds to support overall health.', 'Low-fat dairy: Provides calcium and vitamin D without excess fat.']"
Gastroenteritis,"['Bland Diet: Includes easily digestible foods like toast and rice.', 'Bananas: Provide potassium and are gentle on the stomach.', 'Rice: Easy to digest and helps bind the stool.', 'Applesauce: Gentle on the stomach and provides pectin.', 'Toast: Simple carbohydrate that is easy to digest.']"
Bronchial Asthma,"['Anti-Inflammatory Diet: Foods that reduce inflammation, like berries and leafy greens.', 'Omega-3-rich foods: Fish and flaxseed that help reduce lung inflammation.', 'Fruits and vegetables: Provide essential vitamins and antioxidants.', 'Whole grains: Support overall health and provide sustained energy.', 'Lean proteins: Such as chicken and legumes to support muscle health.']"
Hypertension,"['DASH Diet: Dietary Approaches to Stop Hypertension, rich in fruits, vegetables, and low-fat dairy.', 'Low-sodium foods: Help reduce blood pressure.', 'Fruits and vegetables: Provide essential nutrients and fiber.', 'Whole grains: Help maintain stable blood pressure.', 'Lean proteins: Such as fish and poultry to support heart health.']"
Migraine,"['Migraine Diet: Avoiding trigger foods like chocolate and red wine.', 'Low-Tyramine Diet: Avoid aged cheeses and processed meats that can trigger migraines.', 'Caffeine withdrawal: Reducing caffeine intake to prevent dependency.', 'Hydration: Drinking plenty of water to prevent dehydration.', 'Magnesium-rich foods: Such as spinach and nuts to reduce migraine frequency.']"
