Disease,Medication
Fungal infection,"Antifungal Creams: Used to treat fungal infections topically, Examples include clotrimazole ketoconazole and terbinafine, Oral Antifungals: Medications like fluconazole are prescribed for severe or recurring fungal infections."
Allergy,"Medications include Antihistamines to reduce allergy symptoms, Decongestants to relieve nasal congestion, Epinephrine for severe allergic reactions, Corticosteroids to reduce inflammation, and Immunotherapy for long-term allergy management."
GERD,"Medications for GERD include Proton Pump Inhibitors (PPIs) like omeprazole, H2 Blockers such as ranitidine, Antacids like Tums, Prokinetics to improve stomach emptying, and Antibiotics for H. pylori infection."
Chronic cholestasis,"Treatment options include Ursodeoxycholic acid to improve bile flow, Cholestyramine to relieve itching, Methotrexate and Corticosteroids for inflammation, and Liver transplant for severe cases."
Drug Reaction,"Medications may include Antihistamines to reduce allergic reactions, Epinephrine for severe reactions, Corticosteroids to reduce inflammation, Antibiotics if there is an infection, and Antifungal Creams for fungal infections."
Peptic ulcer disease,"Medications include Antibiotics to treat H. pylori infection, Proton Pump Inhibitors (PPIs) to reduce stomach acid, H2 Blockers to reduce acid production, Antacids for symptom relief, and Cytoprotective agents to protect the stomach lining."
AIDS,"Treatment involves Antiretroviral drugs to suppress HIV, Protease inhibitors to prevent viral replication, Integrase inhibitors to block viral DNA integration, Entry and Fusion inhibitors to prevent viral entry into cells."
Diabetes,"Medications include Insulin to regulate blood sugar levels, Metformin to improve insulin sensitivity, Sulfonylureas to stimulate insulin production, DPP-4 inhibitors to lower blood sugar, and GLP-1 receptor agonists to increase insulin release."
Gastroenteritis,"Treatment options include Antibiotics for bacterial gastroenteritis, Antiemetic drugs to control nausea and vomiting, Antidiarrheal drugs to reduce diarrhea, IV fluids for dehydration, and Probiotics to restore gut flora."
Bronchial Asthma,"Medications include Bronchodilators to relax airway muscles, Inhaled corticosteroids to reduce inflammation, Leukotriene modifiers to control inflammation, Mast cell stabilizers to prevent allergic reactions, and Anticholinergics to reduce bronchospasm."
